Epochs    TL                  TA                  VL                  VA                  Time                
149       0.283042031298      0.96                0.294669404409      0.973333333333      0.00119304656982    
150       0.286272612721      0.96                0.293538282808      0.973333333333      0.00116109848022    
151       0.28063099596       0.973333333333      0.292477240763      0.973333333333      0.000921964645386   
152       0.280075994605      0.973333333333      0.291363789786      0.973333333333      0.00111603736877    
153       0.278160119946      0.973333333333      0.29018722456       0.973333333333      0.00135207176208    
154       0.278682470276      0.973333333333      0.289094929056      0.973333333333      0.00123381614685    
155       0.276070472508      0.973333333333      0.287938799762      0.973333333333      0.00123715400696    
156       0.275329213162      0.973333333333      0.286887497119      0.973333333333      0.00140500068665    
157       0.274789965651      0.96                0.285818598         0.973333333333      0.00144410133362    
158       0.273621114352      0.973333333333      0.284747938793      0.973333333333      0.00144195556641    
159       0.274471931702      0.973333333333      0.28368749598       0.973333333333      0.000844955444336   
160       0.271293161469      0.973333333333      0.28280065464       0.973333333333      0.000820159912109   
161       0.276662483685      0.96                0.286123718585      0.946666666667      0.000817060470581   
162       0.276764542891      0.96                0.283385909836      0.946666666667      0.00134491920471    
163       0.269990409716      0.96                0.280208184869      0.973333333333      0.00082802772522    
164       0.267590114641      0.986666666667      0.279124080061      0.96                0.0010290145874     
165       0.278597831204      0.946666666667      0.277535802105      0.973333333333      0.00120186805725    
166       0.265457664489      0.973333333333      0.27679724973       0.973333333333      0.0014181137085     
167       0.273437951328      0.946666666667      0.275465439485      0.973333333333      0.00146698951721    
168       0.262217201856      0.973333333333      0.274425781423      0.973333333333      0.00145101547241    
169       0.27041282603       0.973333333333      0.273628318508      0.973333333333      0.00150799751282    
170       0.264711231049      0.96                0.273581983702      0.973333333333      0.0014820098877     
171       0.262659818693      0.986666666667      0.271431604809      0.973333333333      0.00140118598938    
172       0.257776876631      0.973333333333      0.270550112652      0.973333333333      0.00145316123962    
173       0.258800249213      0.973333333333      0.270338593214      0.96                0.00124406814575    
174       0.256723261942      0.96                0.268529252691      0.973333333333      0.00083589553833    
175       0.256527506997      0.973333333333      0.268625722655      0.96                0.00142788887024    
176       0.259054344076      0.973333333333      0.266946313068      0.973333333333      0.00135493278503    
177       0.253705963677      0.973333333333      0.265916928333      0.973333333333      0.00143003463745    
178       0.256821767335      0.973333333333      0.265409101519      0.973333333333      0.00130295753479    
179       0.259689366565      0.96                0.266377010886      0.946666666667      0.0014340877533     
180       0.257514644035      0.96                0.264394909254      0.96                0.00137686729431    
181       0.254945903483      0.96                0.26194631241       0.973333333333      0.00133681297302    
182       0.249835977319      0.986666666667      0.262349573817      0.96                0.0014181137085     
